name;description;price;stock;image;category_id;supplier_id
Batik Premium Lengan Panjang ;Batik eksklusif, bahan premium dan adem;155000;50;batik1.jpg;1;1
Batik Etnil Lengan Pendek;Batik motif etnik klasik, lengan pendek;135000;50;batik2.jpg;1;1
Batik Casual Kekinian;Batik casual bahan adem untuk sehari-hari;125000;50;batik3.jpg;1;1
Batik Casual Cream;Batik casual motif soft untuk sehari-hari;125000;50;batik4.jpg;1;1
Batik Two Toned Elegan;Batik warna gelap dengan corak elegan;150000;50;batik5.jpg;1;1
Batik Soft Elegan;Batik warna soft dengan corak elegan;145000;50;batik6.jpg;1;1
Kaos Santai Lengan Pendek;Kaos lengan pendek pria bahan cotton combed 30s;94000;50;kaos1.jpg;1;1
Kaos Jalan Lengan Pendek;Kaos lengan pendek, cocok untuk jalan santai;94000;50;kaos2.jpg;1;1
Kaos Street Style;Desain street style, warna netral;94000;50;kaos3.jpg;1;1
Kaos Sablon Ala Distro;Kaos sablon keren ala distro lokal;94000;50;kaos4.jpg;1;1
Kaos Oversized Trendy;Model oversized trendy, bahan adem;94000;50;kaos5.jpg;1;1
Kaos Striped Kekinian;Kaos dengan garis-garis warna stylish;94000;50;kaos6.jpg;1;1
Kaos Striped Hitam Putih;Kaos garis hitam putih klasik;94000;50;kaos7.jpg;1;1
Kaos Motif Simple;Kaos simple dengan motif lengan;94000;50;kaos8.jpg;1;1
Kaos Pastel Lembut;Kaos simple dengan warna pastel lembut;94000;50;kaos9.jpg;1;1
Kaos Street  style Klasis;Kaos street style motif hitam klasik;94000;50;kaos10.jpg;1;1
Kaos Oversized ;Model oversized trendy, bahan adem;94000;50;kaos11.jpg;1;1
Kemeja Motif ;Kemeja Pattern Alami;135000;50;kemeja1.jpg;1;1
Kemeja Flanel Kotak-Kotak;Kemeja flanel kotak untuk gaya kasual;135000;50;kemeja2.jpg;1;1
Kmeja Motif Lengan Panjang;Kemeja Lengan Panjang dengan corak unik;135000;50;kemeja3.jpg;1;1
Kemeja Kantor Slim Fit;Kemeja slim fit lengan pendek formal;135000;50;kemeja4.jpg;1;1
Kemeja Motif Kuliah/Kerja;Model pattern unik untuk kuliah atau kerja;135000;50;kemeja5.jpg;1;1
Kemeja casual Harian;Kemeja kasual bisa dipakai harian;135000;50;kemeja6.jpg;1;1
Kemeja Linen Polos;Bahan linen adem cocok untuk musim panas;135000;50;kemeja7.jpg;1;1
Kemeja Cotton soft;Kemeja berbahan cotton ringan;135000;50;kemeja8.jpg;1;1
Kmeja Linen Soft Polos;Kmeja Linen warna soft;135000;50;kemeja9.jpg;1;1
Kemeja V-Neck Lengan Pendek;Model V-neck hijau pastel cocok untuk gaya santai;135000;50;kemeja10.jpg;1;1
Kemeja V-Neck Gaya Santai;Model V-neck abu cocok untuk gaya santai;135000;50;kemeja11.jpg;1;1
Batik Elegan 1;Blus batik elegan dengan motif tradisional modern;86500;50;batik1.jpg;2;2
Batik Elegan 2;Batik wanita lengan panjang dengan warna kalem;89500;50;batik2.jpg;2;2
Batik Klasik 3;Blus batik motif klasik cocok untuk acara formal;92500;50;batik3.jpg;2;2
Batik Kasual 4;Batik santai model kekinian dengan bahan adem;95500;50;batik4.jpg;2;2
Batik Trendy 5;Kemeja batik stylish untuk tampil anggun dan modern;98500;50;batik5.jpg;2;2
Batik Modern 6;Atasan batik wanita modern kombinasi warna pastel;101000;50;batik6.jpg;2;2
Batik Chic 7;Batik motif kontemporer dengan potongan slim fit;104000;50;batik7.jpg;2;2
Blouse Cantik 1;Blouse simpel dengan warna pastel lembut, cocok untuk sehari-hari;112000;50;blouse1.jpg;2;2
Blouse Cantik 2;Blouse modis model flare, nyaman dipakai saat santai;112000;50;blouse2.jpg;2;2
Blouse Ruffle 3;Blouse two toned, memberi kesan manis;112000;50;blouse3.jpg;2;2
Blouse Ruffle 4;Blouse putih kombinasi ruffle feminim dan elegan;112000;50;blouse4.jpg;2;2
Blouse Kancing 5;Blouse lengan panjang dengan detail lengan sweater depan;112000;50;blouse5.jpg;2;2
Blouse Casual 6;Blouse lengan 3/4 cocok untuk Hangout;112000;50;blouse6.jpg;2;2
Blouse Polos 7;Blouse polos lengan panjang dengan bahan adem;112000;50;blouse7.jpg;2;2
Blouse Flare 8;Blouse flare kombinasi warna Kuning;112000;50;blouse8.jpg;2;2
Blouse Korea 9;Blouse model Korea dengan potongan manis dan modis;112000;50;blouse9.jpg;2;2
Blouse Chic 10;Blouse chic warna pastel cocok untuk hangout;112000;50;blouse10.jpg;2;2
Blouse Elegant 11;Blouse elegan dengan detail sabuk dan bahan linen;112000;50;blouse11.jpg;2;2
Blouse Lace 12;Blouse Kotak feminim, cocok untuk Hangout;112000;50;blouse12.jpg;2;2
Blouse Soft 13;Blouse kerah pita dengan bahan jatuh dan nyaman;112000;50;blouse13.jpg;2;2
Blouse Pink 14;Blouse Biru manis model peplum dengan kerah V-Neck;112000;50;blouse14.jpg;2;2
Blouse Pastel 15;Blouse warna pastel soft blue ;112000;50;blouse15.jpg;2;2
Blouse Trendy 16;Blouse kekinian dengan potongan loose dan bahan flowy;112000;50;blouse16.jpg;2;2
Blouse Putih 17;Blouse putih lengan balon cocok untuk gaya minimalis;112000;50;blouse17.jpg;2;2
Crop Top Polos Casual Cream;Crop top polos warna cream, cocok dipadukan dengan berbagai outfit.;104000;50;crop1.jpg;2;2
Crop Top Polos Casual Maroon;Crop top polos warna maroon, cocok dipadukan dengan berbagai outfit.;104000;50;crop2.jpg;2;2
Crop Top Peach V-Neck Basic;Simpel dan elegan dengan potongan v-neck dan lengan balon;104000;50;crop3.jpg;2;2
Crop Top Pink Ruffle Charm;Crop pink dengan detail ruffle cantik, cocok untuk look girly kamu.;104000;50;crop4.jpg;2;2
Crop Top pink peach Casual Cut;Crop pink lengan panjang, cocok untuk Hangout.;104000;50;crop5.jpg;2;2
Crop Top Black Stripe Chic;Crop Black Stripe dengan detail lengan garis;104000;50;crop6.jpg;2;2
Crop Top kotak-kotak Fresh Look;Crop pink dengan detail kotak cantik, cocok untuk look girly kamu.;104000;50;crop7.jpg;2;2
Crop Top Black Stripe Ruffle;Crop Black Stripe dengan detail ruffle cantik pada bagian lengan;104000;50;crop8.jpg;2;2
Kardigan rajut premium tebal;Kardigan rajut premium dengan bahan tebal dan halus.;109000;50;rajut1.jpg;2;2
rompi rajut crop motif ketupat;Rompi rajut model crop dengan motif ketupat yang unik.;97000;50;rajut2.jpg;2;2
sweater rajut putih love;Sweater putih berbahan rajut lembut dengan detail motif love yang manis. ;102000;50;rajut3.jpg;2;2
sage outer rajut;Outer rajut warna sage yang menenangkan, memberi kesan kalem.;99000;50;rajut4.jpg;2;2
Daisy flower v-neck gaya korea;Rajut v-neck bermotif bunga daisy ala Korea yang sedang tren.;105000;50;rajut5.jpg;2;2
Celana Jeans Pria Urband Slimfit;Celana jeans slimfit dengan potongan modern, cocok untuk gaya kasual harian.;139000;50;celana1.jpg;3;3
Celana Joger Katun Pinggang Karet;Terbuat dari katun nyaman dengan pinggang elastis, cocok untuk santai dan semi-formal.;115000;50;celana1.jpg;3;3
Celana Chino Pendek Premium;Chino pendek bahan premium, potongan rapi dan cocok untuk tampilan smart casual.;119000;50;celana1.jpg;3;3
Celana Jorts Bermuda Men;Jorts (jeans shorts) model Bermuda, nyaman untuk gaya musim panas.;109000;50;celana1.jpg;3;3
Celana Short Cargo Freak;Celana pendek cargo dengan banyak saku, cocok untuk aktivitas luar ruangan.;125000;50;celana1.jpg;3;3
Celana Pendek Pria Surfing Distro;Celana pendek motif surfing, gaya distro kekinian untuk liburan atau hangout.;99000;50;celana1.jpg;3;3
Celana Cotton Cargo Stretch;Bahan katun stretch yang fleksibel, celana cargo ini cocok untuk gaya aktif.;129000;50;celana1.jpg;3;3
Celana Jeans Baggy Gombrong Loosefit;Gaya baggy gombrong yang lagi trend, cocok untuk streetwear look.;135000;50;celana1.jpg;3;3
Barrel Jeans Kekinian;Celana jeans barrel cut kekinian dengan siluet unik dan nyaman.;132000;50;celana1.jpg;3;3
Celana Jeans Korea Baggy Korean Style;Celana jeans baggy dengan sentuhan gaya Korea, cocok untuk pecinta K-fashion.;138000;50;celana1.jpg;3;3
